--- MAESTRO DE PRODUCTOS (DB ACTUALIZADA) ---
Producto: Arroz Extra | UM: und | Formato: 1
Producto: Arroz Superior | UM: und | Formato: 1
Producto: Azúcar Rubia | UM: und | Formato: 1
Producto: Azúcar Blanca | UM: und | Formato: 1
Producto: Aceite Vegetal | UM: und | Formato: 1
Producto: Fideo Espagueti | UM: und | Formato: 1
Producto: Fideo Codito | UM: und | Formato: 1
Producto: Leche Evaporada | UM: und | Formato: 1
Producto: Leche Deslactosada | UM: und | Formato: 1
Producto: Avena Clásica | UM: und | Formato: 1
Producto: Avena con Maca | UM: und | Formato: 1
Producto: Atún en Agua | UM: und | Formato: 1
Producto: Grated de Sardina | UM: und | Formato: 1
Producto: Sal de Mesa | UM: und | Formato: 1
Producto: Sal Yodada | UM: und | Formato: 1
Producto: Sazonador Ajinomoto | UM: und | Formato: 1
Producto: Caldo de Gallina | UM: und | Formato: 1
Producto: Salsa de Soya (Sillao) | UM: und | Formato: 1
Producto: Vinagre Tinto | UM: und | Formato: 1
Producto: Mayonesa | UM: und | Formato: 1
