=== ALL PRODUCTS ===
ID: 1 | Cod: PERU00000001 | Name: "Arroz Extra" | Cat: "Abarrotes" | Brand: "Faraón"
ID: 2 | Cod: PERU00000002 | Name: "Arroz Superior" | Cat: "Abarrotes" | Brand: "Costeño"
ID: 3 | Cod: PERU00000003 | Name: "Azúcar Rubia" | Cat: "Abarrotes" | Brand: "Cartavio"
ID: 4 | Cod: PERU00000004 | Name: "Azúcar Blanca" | Cat: "Abarrotes" | Brand: "Paramonga"
ID: 5 | Cod: PERU00000005 | Name: "Aceite Vegetal" | Cat: "Abarrotes" | Brand: "Primor"
ID: 6 | Cod: PERU00000006 | Name: "Aceite de Soya" | Cat: "Abarrotes" | Brand: "Sao"
ID: 7 | Cod: PERU00000007 | Name: "Fideo Espagueti" | Cat: "Abarrotes" | Brand: "Don Vittorio"
ID: 8 | Cod: PERU00000008 | Name: "Fideo Codito" | Cat: "Abarrotes" | Brand: "Nicolini"
ID: 9 | Cod: PERU00000009 | Name: "Leche Evaporada" | Cat: "Lácteos" | Brand: "Gloria"
ID: 10 | Cod: PERU00000010 | Name: "Leche Deslactosada" | Cat: "Lácteos" | Brand: "Gloria"
ID: 11 | Cod: PERU00000011 | Name: "Avena Clásica" | Cat: "Abarrotes" | Brand: "3 Ositos"
ID: 12 | Cod: PERU00000012 | Name: "Avena con Maca" | Cat: "Abarrotes" | Brand: "Santa Catalina"
ID: 13 | Cod: PERU00000013 | Name: "Atún en Aceite" | Cat: "Conservas" | Brand: "Campomar"
ID: 14 | Cod: PERU00000014 | Name: "Atún en Agua" | Cat: "Conservas" | Brand: "Florida"
ID: 15 | Cod: PERU00000015 | Name: "Grated de Sardina" | Cat: "Conservas" | Brand: "Nelly"
ID: 16 | Cod: PERU00000016 | Name: "Sal de Mesa" | Cat: "Abarrotes" | Brand: "Marina"
ID: 17 | Cod: PERU00000017 | Name: "Sal Yodada" | Cat: "Abarrotes" | Brand: "Emsal"
ID: 18 | Cod: PERU00000018 | Name: "Sazonador Ajinomoto" | Cat: "Condimentos" | Brand: "Ajinomoto"
ID: 19 | Cod: PERU00000019 | Name: "Caldo de Gallina" | Cat: "Condimentos" | Brand: "Maggi"
ID: 20 | Cod: PERU00000020 | Name: "Salsa de Soya (Sillao)" | Cat: "Condimentos" | Brand: "Kikko"
ID: 21 | Cod: PERU00000021 | Name: "Vinagre Tinto" | Cat: "Condimentos" | Brand: "Ventanilla"
ID: 22 | Cod: PERU00000022 | Name: "Mayonesa" | Cat: "Salsas" | Brand: "Alacena"
